Schrijversnamen OF;Namen Wikidata1;Wikidata Qnr;date of birth;date of death;NTA URI;namen NTA
Aardema - Raukema, G.;Aardema - Raukema, G.;;;;;Aardema - Raukema, G.
Adams, Wilfried;Wilfried Adams;Q23581099;1947-11-23;2008-01-13;http://data.bibliotheken.nl/id/thes/p071632182;Adams, Wilfried (1947-2008)
Adèr, Herman;Herman J. Adèr;Q16001797;1940-05-20;;http://data.bibliotheken.nl/id/thes/p071424903;Adèr, Herman (1940-)
Ahrend, Erich;Ahrend, Erich;;;;;Ahrend, Erich
Akkerman, Paulus;Paulus Akkerman;Q13137416;1908-06-13;1982-09-24;http://data.bibliotheken.nl/id/thes/p068942516;Akkerman, Paulus (1908-1982)
Albach, Hester;Hester Albach;Q2483303;1953-11-04;;http://data.bibliotheken.nl/id/thes/p073086762;Albach, Hester (1953-)
Amalrik, Andrej;Andrei Amalrik;Q381390;1938-05-12;1980-11-12;http://data.bibliotheken.nl/id/thes/p069043949;Amalʹrik, Andrej (1938-1980) • Амальрик, Андрей (1938-1980)
Anema, Anne;Anne Anema;Q2195210;###############################################################################################################################################################################################################################################################;1966-02-18;http://data.bibliotheken.nl/id/thes/p068921217;Anema, A. (1872-1966)
Annema-Noordenbos, Froukje;Froukje Annema;Q13135698;1941-05-09;1998-07-20;http://data.bibliotheken.nl/id/thes/p06828084X;Annema-Noordenbos, F. (1941-1998)
Augustin, Elisabeth;Elisabeth Augustin;Q100901;1903-06-13;2001-12-14;http://data.bibliotheken.nl/id/thes/p070157391;Augustin, Elisabeth (1903-2001)
Babiers, Lia;Babiers, Lia;;;;;Babiers, Lia
Bakker, Rien;Bakker, Rien;;;;http://data.bibliotheken.nl/id/thes/p331652331;Bakker, Rien
Balkt, H.H. ter;H.H. ter Balkt;Q2324712;1938-09-17;2015-03-09;http://data.bibliotheken.nl/id/thes/p068404638;Balkt, H.H. ter (1938-2015)
Banen, Jan;Banen, Jan;;;;http://data.bibliotheken.nl/id/thes/p070264988;Banen, Jan (1917-1998)
Bangma, Jelle;Jelle Bangma;Q18092748;1955-03-14;;http://data.bibliotheken.nl/id/thes/p073424773;Bangma, Jelle (1955-)
Barbiers, Lia;Barbiers, Lia;;;;http://data.bibliotheken.nl/id/thes/p072907304;Barbiers, Lia (1930-)
Bastiaans, Giny;Bastiaans, Giny;;;;http://data.bibliotheken.nl/id/thes/p20428080X;Bastiaans, Giny (1945-)
Beckers, Wim;Wim Beckers;Q2238621;1955-03-20;;http://data.bibliotheken.nl/id/thes/p071580069;Beckers, Wim (1955-)
Beer, J.G. de;Beer, J.G. de;;;;http://data.bibliotheken.nl/id/thes/p069937826;Beer, Jan de (1898-1984)
Beer, Jan de;Beer, Jan de;;;;http://data.bibliotheken.nl/id/thes/p069937826;Beer, Jan de (1898-1984)
Beits;Beits;;;;;Beits
Bendsen, Ben de;Bendsen, Ben de;;;;;Bendsen, Ben de
Beranová, Jana;Jana Beranová;Q2889944;1932-05-02;;http://data.bibliotheken.nl/id/thes/p072276681;Beranová, Jana (1932-)
Berg, Arie van den;Arie van den Berg;Q2312373;1948-06-01;;http://data.bibliotheken.nl/id/thes/p07033448X;Berg, Arie van den (1948-)
Berga, Wilco;Wilco Berga;Q13138633;1947-09-08;;http://data.bibliotheken.nl/id/thes/p074674676;Berga, Wilco (1947-)
Berge, H.C. ten;H. C. ten Berge;Q5628129;1938-12-24;;http://data.bibliotheken.nl/id/thes/p068394349;Berge, H.C. ten (1938-)
Bergen, Johan van;Bergen, Johan van;;;;http://data.bibliotheken.nl/id/thes/p071225102;Bergen, Johan van (1934-2000)
Berger, Edsard;Berger, Edsard;;;;http://data.bibliotheken.nl/id/thes/p071779736;Berger, Edsard (1938-2007)
Bergveld, Hendrik Johannes;Hendrik Johannes Bergveld;Q15729894;1902-12-20;1966-10-14;http://data.bibliotheken.nl/id/thes/p071111123;Bergveld, H.J. (1902-1966)
Berkenbosch, Karst;Karst Berkenbosch;Q13136560;1950-01-01;;http://data.bibliotheken.nl/id/thes/p070631913;Berkenbosch, Karst (1950-)
Bernlef, J;J. Bernlef;Q920;1937-01-14;2012-10-29;http://data.bibliotheken.nl/id/thes/p068285817;Bernlef, J.
Besten, Ad den;Ad den Besten;Q2492353;1923-03-11;2015-03-31;http://data.bibliotheken.nl/id/thes/p069335958;Besten, Ad den (1923-2015)
Bethlehem, Tine;Tine Bethlehem;Q13138337;1938-01-01;;http://data.bibliotheken.nl/id/thes/p074173251;Bethlehem, Tine (1938-)
Bie, J. de;Bie, J. de;;;;;Bie, J. de
Bierman, Willem;Willem Bierman;Q14754390;1948-03-18;;http://data.bibliotheken.nl/id/thes/p070392188;Bierman, Willem (1948-)
Biezen, Jan;Biezen, Jan;;;;http://data.bibliotheken.nl/id/thes/p068412266;Biezen, Jan (1942-)
Bijlsma, Jan J.;Jan J. Bijlsma;Q18092769;1931-11-23;;http://data.bibliotheken.nl/id/thes/p072534265;Bylsma, Jan J. (1931-2021)
Bloemhoff, Henk;Henk Bloemhoff;Q3974562;1948-01-01;;http://data.bibliotheken.nl/id/thes/p068402422;Bloemhoff, Henk (1948-)
Boarnstra, Yke Reinder;Boarnstra, Yke Reinder;;;;;Boarnstra, Yke Reinder
Boccarossa;Boccarossa;;;;http://data.bibliotheken.nl/id/thes/p07031778X;Boccarossa
Boer, Auck de;Boer, Auck de;;;;http://data.bibliotheken.nl/id/thes/p100239307;"Boer, Auck de (1916-1984 ; vertaler)"
Boer, Eize de;Boer, Eize de;;;;http://data.bibliotheken.nl/id/thes/p074193341;Boer, Eize de (1951-)
Boer, Hessel de;Hessel de Boer;Q29552286;1921-02-20;2003-07-20;http://data.bibliotheken.nl/id/thes/p106962701;Boer, Geart Hessel de
Boer, Tjitske de;Boer, Tjitske de;;;;http://data.bibliotheken.nl/id/thes/p314665056;Boer, Tjitske de (1972-)
Boersma, Piter;Piter Boersma;Q13405897;1947-07-11;;http://data.bibliotheken.nl/id/thes/p070506728;Boersma, Piter (1947-)
Bons, Irnie;Bons, Irnie;;;;;Bons, Irnie
Boomsma, Joop;Joop Boomsma;Q13136485;1945-08-04;2018-04-04;http://data.bibliotheken.nl/id/thes/p068618522;Boomsma, Joop (1945-2018)
Boonstra, Benne Lútsen;Boonstra, Benne Lútsen;;;;;Boonstra, Benne Lútsen
Boorsma, Pier;Pier Boorsma;Q13405882;1944-01-01;;http://data.bibliotheken.nl/id/thes/p072322985;Boorsma, Pier (1944-)
Borcherts, Jannie;Borcherts, Jannie;;;;;Borcherts, Jannie
Brake, Alfons B. ter;Brake, Alfons B. ter;;;;;Brake, Alfons B. ter
Brattinga, Teije;Teije Brattinga;Q13138297;1929-01-01;;http://data.bibliotheken.nl/id/thes/p068467885;Brattinga, T. (1929-)
Braudigam, Maria;Braudigam, Maria;;;;;Braudigam, Maria
Breeuwsma, Foekje;Breeuwsma, Foekje;;;;;Breeuwsma, Foekje
Brink, Aleid;Brink, Aleid;;;;http://data.bibliotheken.nl/id/thes/p13141058X;Brink, Aleid van den
Brouwer, Gerben;Gerben Brouwer;Q13135835;1902-01-01;1982-12-30;http://data.bibliotheken.nl/id/thes/p068942648;Brouwer, G. (1902-1982)
